,screenName,userId,text,location,multi-team
96,Tpoe98,131351854.0,I've passed four people with #TeamMystic decals on their cars and I want one 😂,"Tuscaloosa, AL",False
97,EliteFourTreezy,3280967305.0,Last time I checked 3 is more than 1 and 2. 1 + 2 also equals 3. #TeamValor https://t.co/7omC5T9Uds,"Missouri City, TX",False
98,ErikJones,15379726.0,"Why is everyone so salty towards team Valor? It's a game, go ride a bike or something.","San Jose, CA",False
99,somecallmewoo,102849254.0,The only reason I took the trash out this morning was a PokéStop 😂 #adulting #PokemonGo #PokemonGoHouston #teammystic,"Houston, TX",False
100,JuaanitaMarie_,445200825.0,Officially team Mystic 💙✊ https://t.co/AQ5fjSjyo6,"Virginia, USA",False
101,OMG_ItsKhairy,309922057.0,"They don't wanna hear the truth brother. 

In articuno we trust #TeamMystic  https://t.co/eVFs5qxkeV","Baltimore, MD",False
102,InHouseRI,3345584645.0,It's OK @XavierWoodsPhD you have us on your side  against @dvalorofficial !  F #teamvalor (in Pokemon as well lol),"Pawtucket, RI",False
103,yd1221,2446620300.0,"昨日出会ったポケモンさん達 

#pokemongo 
#ポケモンGO 
#TeamMystic https://t.co/i7vNVcx3gb","Santa Monica, CA",False
104,NikoDaNinjaa,212262844.0,@TeCcNeEzY408 sent this to me I'm weak 😂 #TeamInstinct https://t.co/3VxzNkTZ7T,"Glen Allen, VA",False
105,meganfeltfree,17433943.0,I picked Team Valor because I like red more than blue or yellow 😂,"Maryland, USA",False
106,morganamoonston,19096078.0,EVERYONE GO HOME. I'VE DONE IT. 👏😭⚡️🐹⚡️ #ASHKETCHUMSTATUS #pokemonGO #TeamMYSTIC #Pikachu #pokemontrainer #ENDME https://t.co/RVV5IgKRSU,"Buffalo Grove, IL",False
107,spdrdad,882828084.0,"Taking over Lakewood, 1 gym at a time. #TeamMystic #gottacollectemall #PokemonGo https://t.co/SvbByGfBsy","Lakewood, OH",False
108,pokemongo_510,7.539929564790129e+17,"Taking back our local gym! Team Mystic FTW! 🔵Ⓜ🔵 ~k
•
🔵💛🔴
•
#gymbattle #gymtakeover… https://t.co/5vZSnC1muU","Union City, CA",False
109,johnsonoj,42186366.0,@JmeBBK lol bruv I'm right there with ya! 😂😂👌🏾💯 #PokemonGo #TeamValor https://t.co/ZDIzYZY3Zm,"Philadelphia, PA",False
110,ImRiolu,2465268266.0,When someone says that team Valor is best https://t.co/CvyVJhtBrS,"Melrose, MN",False
111,AndrewV_THP,452384639.0,"@missymoo9 @386ElamPatrick pshhhh, Team Valor...what a noob!","Fallston, MD",False
112,cmthomssen,125425755.0,@xomelllkay team mystic!!!!,"Palmyra, PA",False
113,Metro_Coolin,1276352472.0,Team instinct but down with the crips,"Akron, OH",False
114,Berry_Hayden,1880749376.0,Taking gyms at Coquina Beach! #TeamInstinct @PineappleGangGo @TeamInstinctFL https://t.co/c3CIc3yQ7A,"Bradenton Beach, FL",False
115,jonjonscallions,7.430000077002834e+17,Team Valor holding it down out here @OMGitsAliA https://t.co/RrTzwonIIh,"Stockton, CA",False
116,BSPLibrary,2828973560.0,Well that was quick! #TeamMystic steps up and takes control with a giant Exeggutor. #PokemonGO #Pokestop https://t.co/J7wYnDKcee,"Pinellas Park, FL",False
117,Siren_DT,7.004876788909343e+17,@meglifts @mellokittie @audiedoggie @mrtwidget @migratingcub #TeamMystic  :),"New York, USA",False
118,BSPLibrary,2828973560.0,#TeamValor holds the Library Gym at the beginning of the day - let's see what #PokemonGO challengers come today. https://t.co/jCOErZsTgl,"Pinellas Park, FL",False
119,FruitNinjaNate,264179833.0,#TeamValor https://t.co/HbER4dsTZh,"Anchorage, AK",False
120,Tha_Boii,288115283.0,@Uglybrandon_ @KameronMiller23 about fucking time 🙄 team mystic nigga,"Columbus, OH",False
121,ClemonsJake,246064021.0,#TeamMystic! https://t.co/Nk9I6HMjpg,"Fairlawn, OH",False
122,Morgan__McNeil,359041324.0,@Killzoned chose #TeamInstinct 👌🏻⚡️,"Durham, NC",False
123,YellowNation_Pa,7.547185411363512e+17,Looks like yellow is starting to move in on town #PokemonGO  #JimThorpe #TeamInstinct #Thetakeover https://t.co/qCXIIg2JgX,"Jim Thorpe, PA",False
124,YellowNation_Pa,7.547185411363512e+17,Looks like yellow is starting to move in on town #PokemonGO  #JimThorpe #TeamInstinct #Thetakeover https://t.co/wxwIOlspS7,"Jim Thorpe, PA",False
125,dustrho,18359577.0,Got me a Pokemon gym this morning. Don't mess with Team Mystic! 😜… https://t.co/Cl6CpNCVA1,"Chicago, IL",False
126,katrinatulloch,293867449.0,"Not important but Cleveland's public square is a hotspot for #PokemonGO, and gyms are held by #TeamValor. #RNCinCLE https://t.co/3wK6NLex63","Cleveland, OH",False
127,mStromz,2243720008.0,"Guy next to me on the LIRR named his pidgeot ""Flappy Bird"", and took over the gym for team mystic. I love new york","Queens, NY",False
128,TheBetaWolf,72675000.0,It's my gym now!! Instinct takeover! #pokemongo #pokemon #teamInstinct #gottacatchemall #zapdos… https://t.co/PBGSzDFBY1,"Chicago, IL",False
129,cassie_complex,83663354.0,HELL YEAH TEAM VALOR https://t.co/8YC6dHyuc4,"Seattle, WA",False
130,RobertSousa4,466047015.0,Blue team has Marlborough on lock down #PokemonGO #TeamMystic,"Marlborough, MA",False
131,OhHayItsKayy,1054169502.0,"@kierrasantillan also, I was peer pressured by boyfriend and friends to choose Team Valor. 😂😂","Indianapolis, IN",False
132,OhHayItsKayy,1054169502.0,@kierrasantillan I don't think this friendship is going to work out. #TeamValor ❤️,"Indianapolis, IN",False
133,MarkJShuler,847910245.0,@kupajo322 @realDonaldTrump AHEAD OF THE GAME TAURUS &amp; #Trump LETS GO #TeamValor #TrumpPence16 Gr8 start &amp; lead in new age of ELECTION AWARE,"California, USA",False
134,betnywriter,637137720.0,I'm just gonna put this here... 😉 #dailyshade #TeamValor #PokemonGO https://t.co/apMD8mmP19,"Ashburn, VA",False
135,Nick_Mudry,3365291.0,@casskhaw also if you're not #TeamValor I think Boston might not welcome you.,"Wellesley, MA",False
136,OnyxBoo,7.478861673668977e+17,@ColorSplash2000 Team Valor! https://t.co/E6gW046PNL,"Pahrump, NV",False
137,Nick_Mudry,3365291.0,I've noticed that about 80% of the gyms on my commuter rail line are #TeamValor. Great to know the fam is out there doing great work.,"Wellesley, MA",False
138,LionessAriel,146736785.0,@Stairfax @JoshuaJJGYT lol thats why you choose valor! ;) #TeamValor,"Florida, USA",False
139,zunit638301,73761878.0,Come at me bro!! #PokemonGo #teamvalor🔥 @ Cresco Train Station https://t.co/8g5TdL8ggd,"Pennsylvania, USA",False
140,FURBjr,14888808.0,#Wvc my hood is OWNED by team #teaminstinct #PokemonGO https://t.co/DUeRgpdcvQ,TRAX River Trail,False
141,_RpZ95,7.1789205965969e+17,Finally picked a team! #TeamValor where you at? Lol,"Fresno, CA",False
142,ClosCastro,68473442.0,#teammystic idk call me a nerd,"Phoenix, AZ",False
143,Saul2Julia,2265311165.0,no idea what I'm doing because I've never played/watch Pokemon. but. .... #TeamInstinct https://t.co/KKqRn5fvYq,"Millville, NJ",False
144,JonQWiggles,276345558.0,That meant to say City not Coty... Naw I got that on lockdown too! Who do y'all think this is? #TeamValor,"Humboldt, TN",False
145,adeezyy7,2198321843.0,Pokémon teams are the new gangs. #TeamInstinct,"Sallisaw, OK",False
146,JonQWiggles,276345558.0,Had some help with the lockdown. Got to mention that. #TeamValor,"Humboldt, TN",False
147,JonQWiggles,276345558.0,Yall don't even know. I got me coty on lockdown Son! #TeamValor https://t.co/O3SjL6R3pw,"Humboldt, TN",False
148,AskYourMom_69,41284168.0,@6Mannnn #TeamValor 🤘😎🔥 https://t.co/I6Cx6lToAJ,"Texas, USA",False
149,GabeHybrid,2546992843.0,🔥Fire🔥 #PokemonGO #TeamValor https://t.co/DOPjFuxWk7,"Commerce, MI",False
150,joesmokeshidro,2558491642.0,"The lineup so far! 

#PokemonGO #TeamInstinct ⚡
#TeamInstinctOrlando https://t.co/6UBiCtazrY","Orlando, FL",False
151,yung_basura,268959955.0,Lol team instinct holding it down 😂😂 https://t.co/ayeCqqCCz1,"Temecula, CA",False
152,thomas_ikehara,165543989.0,@maddydell what are u team instinct or something g,"Vancouver, WA",False
153,Daichiomg,2235405516.0,Team valor sux https://t.co/XHxgFfgMbt,"San Diego, CA",False
154,CagetheCat,439068245.0,@ffromani @staceyyourmum level 8 team valor 🔴🔴🔴 whoooop,"Compton, CA",False
155,JacobIsABeasstt,187737979.0,If you're team instinct head to desert sands park in the morning and drop off some cover fire for my Doddrio,"Palmdale, CA",False
156,blackcatkai_,409012965.0,"My fave Let's Player is fucking #TeamMystic!? Hellz yea!! Welcome to the world of #PokemonGo, @Jack_Septic_Eye! ♡ https://t.co/RGPio6zJEy","Plymouth Township, MI",False
157,TheOnlyOverSoul,7.25455863696085e+17,@PokemonGoApp I'm moving on up in the world lol #TeamInstinct https://t.co/FZTHFALct0,"Mount Vernon, IL",False
158,Richardsadickk,534015060.0,It's such a good feeling to be able to put a Pokemon on top on the Disneyland castle #TeamValor https://t.co/Drz9UqyTMG,"Norwalk, CA",False
159,StevenForrest_,243543021.0,@persianprince07 you better join team valor!,"Oxnard, CA",False
160,blackcatkai_,409012965.0,"Where all my #TeamMystic friends at?? :D
#PokemonGo https://t.co/xTL75fLTMk","Plymouth Township, MI",False
161,miles_cepeda,107555312.0,I have 7 Gyms currently under my control. #TeamValor https://t.co/ZF5oDZNd3b,"El Paso, TX",False
